user:id,context:timestamp,howmanypeople,photo,stress,where:label,who:label,why
lausd-96132,3/1/22 9:24,7,SKIPPED,0,public place,family,fun
lausd-13719,3/1/22 9:24,3,SKIPPED,3,school,friends,To get an education :)
lausd-96132,3/1/22 9:23,0,SKIPPED,3,home,alone,end of school day doing homework
lausd-96132,3/1/22 9:22,15,SKIPPED,2,other's house,family,birthday
lausd-76905,3/1/22 9:21,3,SKIPPED,2,school,friends,forced
lausd-52352,3/1/22 9:21,33,cb5da834-a443-4747-816e-9eff206a7067,2,school,classmates,learn
lausd-93906,3/1/22 9:21,35,SKIPPED,2,school,teacher and classmates,education
lausd-96132,3/1/22 9:20,1,SKIPPED,1,school,teacher and classmates,Education 
lausd-47286,3/1/22 9:20,2,178f634f-37d3-4110-bf8c-dd5c206a7067,1,school,friends,School
lausd-90742,3/1/22 9:20,33,7313dcdb-984f-4baa-bfc5-7017206a7067,3,school,teacher and classmates,mandatory 
lausd-48255,3/1/22 9:20,3,SKIPPED,1,commuting,family,school
lausd-10511,3/1/22 9:20,25,f77ee2cb-47e3-4d29-8e2b-1efd206a7067,3,school,classmates,education 
lausd-65196,3/1/22 9:19,31,SKIPPED,2,school,teacher and classmates,school
lausd-48255,3/1/22 9:19,150,SKIPPED,1,public place,strangers,grcoery 
lausd-60578,3/1/22 9:19,31,SKIPPED,2,school,teacher and classmates,Required
lausd-48255,3/1/22 9:18,100,SKIPPED,1,public place,strangers,church
lausd-90449,3/1/22 9:18,30,SKIPPED,2,school,teacher and classmates,required
lausd-55184,3/1/22 9:18,25,SKIPPED,1,school,teacher and classmates,learning
lausd-19947,3/1/22 9:18,30,SKIPPED,2,school,teacher and classmates,IDS
lausd-54749,3/1/22 9:15,27,6249e4e7-a084-4550-a274-10ee206a7067,2,school,teacher and classmates,learn
lausd-71378,3/1/22 9:15,28,72b8c13e-eafe-47f5-87b6-db38206a7067,1,school,teacher and classmates,school
lausd-48255,3/1/22 9:05,30,SKIPPED,2,school,teacher and classmates,graduation
lausd-54749,2/28/22 9:02,0,SKIPPED,0,home,alone,live
lausd-54749,2/27/22 9:01,2,SKIPPED,1,home,family,live
lausd-17844,2/26/22 14:53,3,5e585d7b-14d6-4fd4-b70e-88d3206a7067,2,public place,friends and family,Family
lausd-54749,2/26/22 9:00,0,SKIPPED,0,home,alone,sleep 
